,Property Link,Date,Review Rating,Review Tagline,Comments
10,https://www.homeaway.com/vacation-rental/p169977#reviews,"Nov 18, 2008",5/5,Hidden oasis in the suburbs,"What I love most is that this place is tucked away off a plain old residential street, on what used to be the outskirts of Austin but is now pretty much ""in town""... but once you go down the driveway, you're in another world! We had 11 adults and two kids staying there. From the 87-year-old to the 6-year-old, everyone was accommodated and happy (including our dog!). The goats, donkey and chickens were fabulous for those who liked them, and out of sight for the visiting city folk who preferred not to co-mingle with the livestock. The kitchen table was big enough for shared meals (the industrial stove and grill are a cook's dream), but the grounds and house offer plenty of space for privacy as well.

And of course, there's nothing like a firepit on a hilltop on a cool Austin fall evening! I've rented a few out-of-town vacation houses just for get-togethers with local friends, and will add the Rockin' Y to my list. True, it's not *really* out in the country, it just feels that way, so you do hear the highway during the day. But you can't beat the convenient location, the space, and the facilities.

The owner was very easy to work with, and graciously rounded up and returned the various items we left there.

HIghly recommended for local get-aways, family/friend reunions, or for any out-of-towners looking for a wonderful alternative to downtown hotels. We'll be back!

"
11,https://www.homeaway.com/vacation-rental/p169977#reviews,"Aug 20, 2008",5/5,Much needed reunion with old friends!,"I stayed were with a bunch of old friends of mine, some with kids and some without. The place is awesome, very accommodating on every level! Clean, spacious everything and more than I expected. What I loved most is the layout is such where if there are children, or anyone else who wants peace and quiet, they can retreat to the other side of the house and not be bothered with the noise from the rest of the group. The pool was the kicker though for me...my daughter had the best time and so did I!!! We have already decided this will be a annual event for us so we will be back next year! Anyone wanting to rent this property take my advice, you won't be disappointed!

"
12,https://www.homeaway.com/vacation-rental/p169977#reviews,"Aug 14, 2008",4/5,Awesome and Great Place within the City!,"I came here w/ a great group of old friends for a mini reunion..some w/ kids and some without. The house has a great layout for any and all groups -4 bdrms on one side of the house and 3 bdrms on the other. Kitchen and living areas all btwn the two. So much room and so many areas to not only retreat on your own, but also to really keep the late night noise contained away from the light sleepers and kids. Kitchen has everything you need and the owner was very helpful to make sure we knew where everything was. Pool is great as well! All so close to downtown, we will definitly come back. Thank you Eric for everything!!

"
13,https://www.homeaway.com/vacation-rental/p169977#reviews,"Aug 5, 2008",4/5,CHARMING AND RELAXING,"Some friends and I stayed at the Rocking Y this past weekedn (Aug 1-3, 2008) and it was just like staying at a old friends house. The house was so comfortable and relaxing, and they had everything we needed to relax and enjoy our stay. The beds were comfortable and the place was clean. I would definitely stay here again. Also, it's so close to the downtown Austin area, if you wanted to go out for the evening you can without having to drive a long distance, yet you still feel like you are out in the country while on the property. AWESOME experience!

"
14,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 24, 2008",5/5,Perfect for a large group,"The Rockin Y Ranch was lovely.

I stayed there with 15 other gals for a girlfriend's bachelorette party and had a wonderful time.

With 2 girls per room it slept all of us very comfortably.

The large kitchen, two large living areas, and huge backyard with pool provided us all plenty of space to cook, sunbathe, swim, hike, and enjoy the property.

The rooms were all decorated with texas charm and very comfortable.

I would definitely consider this place again for a large get together or family reunion.

"
15,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 24, 2008",5/5,Great House,"Great house in a great location. We had a large group and were easily accomodated. All the amenities are in house or close-by. Access to the city with the feel of being removed from everyday life. Will rent again.

"
16,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 23, 2008",5/5,The Greatest Vacation...,"From the moment we drove up and were greeted by the owner to the moment we left, I thoroughly enjoyed this warm, inviting, spacious home. I felt like I was finally on a real vacation! We loved the pool, fire pits, BBQ, scenery, fresh eggs laid by the chickens, the convenience of a fully stocked home and of course ""Teaspoon"" our optional built-in security dog. Teaspoon was amazingly entertaining & took care of himself by letting himself in and out of the house on his own. The owner was so warm and friendly and really made us feel like we were in our own home or like family. The closeness of the shopping center was also a plus. I would highly recommend staying here and cannot wait to return one day.

"
17,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 23, 2008",5/5,FANTASTIC VACATION HOME,"This is a truely amazing property right by downtown Austin. Great for a girls weekend, family reunion, or wedding. Many spaces to choose from for sitting and relaxing. WONDERFUL KITCHEN! FABULOUS DOG WHO DOES TRICKS! MOST AMAZING SUNSET! GREAT PATIOS AND POOL! What more could you ask for....and it feels like your in the country a million miles away! I will definatly visit again! Thanks!

"
18,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 23, 2008",5/5,the perfect option!,"we recently hosted a bachelor/bachelorette party here and we LOVED the rockin' y...plenty of communal space for us to do group activities and spacious enough for it to never feel crowded. the pool is beautiful and the provides the perfect respite from those hot, Austin summer days, loads of bedrooms to accommodate any grouping of people, a HUGE kitchen to make eggs in the morning (fresh ones are provided if you wish) and a great BBQ with smoker makes for the perfect poolside dinners. ask Eric to give you some of his favorite recipes and request the house dog, Teaspoon, to stay with you during your stay - she's an amazing host!! you won't be disappointed here. oh, and Austin is only about 10 minutes away if you feel you must leave...which we never did.

"
19,https://www.homeaway.com/vacation-rental/p169977#reviews,"May 14, 2008",5/5,Perfection,"The Rocking Y Ranch exceeded our expectations. We spent a week here in May. We were in town for a wedding and 12 others joined us for 3 to 5 days. At one time, there were a total of 14. We were not the least bit crowded. It was very humid and the pool offered us instant relief. Great surroundings, friendly dog and chickens (fresh eggs). I can't begin to tell you all the fun we had. It wouldn't have been the same any where else. Eric and Will were most helpful and provided us with all of the comforts of home. We had a meet & greet party for family and friends around the pool. With the party service people and our group, there were about 40 people; plenty of space!

"
20,https://www.homeaway.com/vacation-rental/p169977#reviews,"Apr 29, 2008",5/5,Reunion for 13 people in Austin,"Property is charming, clean and very private. A quick drive to downtown Austin. Amenities are great -- BBQ, 2 fire pits, ping pong and poker table and a pool. We were a large group of law school classmates there for a long weekend reunion and enjoyed ourselves very much. The owner was very accommodating and friendly, and left us to enjoy ourselves. Only drawback is that the pool is not heated, so keep that in mind if you are going during the colder months. We were there in mid-April though and it was warm enough to swim, so I doubt it is ever much of an issue.

"
21,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jan 30, 2008",5/5,Awesome Awesome Get-A-Way!!!,"This is a great place to stay...it is a beautiful location and so close to downtown and other attractions! The home is very large and can accommodate many people...it's like staying in a large hotel...it has EVERYTHING you need! This is a great place for families, a retreat...anything you need! Enjoy your stay!!!!

"
22,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Apr 4, 2011",5/5,Loretta,"Just got back from a weekend at Montina Beach House. It was lovely! I was there with friends for a family wedding. It was a great location and the house was perfect. Very spacious and clean. The accomodations were perfect for us. We barbequed and enjoyed the Lake with a boat. Thanks for sharing your beautiful home with us. We would love to come again sometime in the future.

"
23,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Sep 4, 2018",5/5,Perfect getaway spot!,"This wonderful lake house was perfect for us to feel like we were on a great vacation without all the travel time and expense! Just 30 mins from our house we got to relax in a wonderfully equipped vacation home and spend our days jumping off the swimming dock into Lake Travis. Overall a carefree relaxing vacation weekend! We would definitely do it again!

"
24,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jun 5, 2018",5/5,Great getaway,"We really enjoyed our stay at Montina Beach. The house set up was perfect for our family & it was great to have full amenities to stay put after a crazy few days of college graduation festivities for our daughter. It was very relaxing & comfortable.

We rented a boat one day to go water skiing & tubing. The marina was close, convenient & a boat is a great way to enjoy the lake.

When we had an issue with the satellite TV the owners were quick to reply & have the situation fixed. Everything else went smoothly....we would definitely consider staying here again!

"
25,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jun 4, 2018",5/5,Property was great and perfect for our family of 6! Would stay here again anytime!,"Great place for a family gathering! Home was beautiful, had everything we needed and was open and comfortable. Plenty of outside patio space, beautiful views of Lake Travis and a great dock to hang out, swim, fish and spend the evenings!

Everyone loved this house! Can’t go wrong staying here!

"
26,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"May 9, 2018",5/5,Great Location and Fit For Our Small Family Gathering,"This guest house on Lake Travis was the perfect fit for our small family gathering. We were in Austin with the intent to visit extended family on Hudson Bend without being intrusive, and this simple and welcoming guest house was a great solution in a beautiful setting. Our group of 9 (including 3 small children under the age of 3) thoroughly enjoyed the ample living / dining space and beautiful and spacious outdoor space - especially the dock and access to the water where the kids and adults alike could explore, swim and take full advantage of being outside and on the lake. The house was ready for us when we arrived, had instructions for anything we needed during our 6 day visit, and accommodated our comings-and-goings to visit family nearby incredibly well. This is a guest house located in close proximity to the main house, but we certainly enjoyed the views and had almost full access to the property, so it was certainly no issue for our stay. Thank you to Phyllis for making this property available - it suited our visit incredibly well! Will certainly look into this option again in the future.

"
27,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Nov 28, 2017",4/5,Beautiful property but linens and towels could be replaced. Most of them were stained.,"Beautiful location and owner very accommodating

"
28,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Oct 30, 2017",5/5,well stocked and clean,"We really enjoyed our stay. The house was very well stocked clean and comfortable. The huge backyard was great to throw the football/frisbee and it is pretty close to Austin. Two of the bedrooms are set up that you need to go through one to get to the main living area or go outside and around, but it wasn't a problem for us.

Would stay again

"
29,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Oct 26, 2017",5/5,Great and wonderful place! The home owners are great and we enjoyed the view of the lake.,"The Sisters Seven Reunion enjoyed the place, plenty of room for dining, visiting and enjoy ourselves in the cool evenings viewing the beautiful Lake Travis.

We had many questions and extra needs and Ms. Lacy took care of us always.

This is an A+++ place.

"
30,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Sep 5, 2017",5/5,Beautiful!,"Had a wonderful Labor Day weekend staying here with family. If you enjoy the water as much as we do, this is a great swimming spot. The swim dock was really great. We packed a gourmet lunch and took it down to the water and pretty much spent all day there. They had umbrellas which was nice when you wanted to get out of the sun. The water can be a little rough as this is a busy lake but there is a nice beach entrance if you have little ones. It was very relaxing just to swim and watch all the boats. The property is beautiful. There are nice views of the lake, we enjoyed sitting out on the patio in the evenings and even while eating our meals in the main living area we enjoyed the views. If you like bird watching there is a lot to see. The house is well equipped and the beds were comfortable. The area has lots of eateries and shops. We enjoyed the drive from North Austin up to the lake. We will definitely be returning to this beautiful property!

"
31,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Aug 17, 2017",5/5,Great home. Beautiful lake,"We had a great stay on Lake Travis at this property. The house had a very well stocked kitchen and was comfortable for our family. There are 3 bedrooms, but the one bedroom is a walk thru to the back room so if you have anyone with privacy issues, they may not want to stay in the middle room. However, the back room has a private entrance, so you could work it out if it was really inconvenient. The dock was fun to hang out on and with some creativity, we were able to tie up the 25 foot pontoon boat we rented for the weekend. We launched the boat at the dam and it was just a short ride to the house. The lake level was high and we had a great time, puttering around. Unfortunately there was a burn ban in effect and we weren't able to use the great fire pit. Would love to go back on a little cooler day to enjoy the great lawn and play some volley ball or frisbee.

"
32,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Nov 27, 2016",5/5,Lots of room for a big family,"We thoroughly enjoyed our stay in this property. The kitchen/dining/living area is a spacious open floor plan with lots of room for lounging, watching tv, and visiting with other guests. The back deck has a beautiful view of the lake. The kitchen was well equipped for us to cook a big Thanksgiving dinner. The owners ensured that we were provided what we needed to have a bonfire on the beach by the lake. We will definitely stay here again.

"
33,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jul 23, 2016",3/5,Pleasant owners. Nice updated home without a view,"The home is older but nicely updated. The lot is narrow and very long with the owners very large home right in front of the view to the lake. We brought a 22' wakeboard boat which the owners asked and knew of. The swim dock is the designated area for guests boats with no cover(shade)or cleats to tie up to. The swim dock had 2 1/2 feet of water when we arrived according to my depth finder and the lake was full during our stay. A few days later the owner extended the swim dock out a little further to 4 feet. I would not recommend this rental for guests with boats. It is the number one reason we came to stay and I was always checking and worried about the boat because it isn't protected from large waves from a very busy lake. Our boat had some damage during our stay tied up at the dock :(

"
34,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jul 10, 2016",5/5,Great place to stay on the lake!,"We stayed here last weekend and it was great! The house is beautiful and the property is amazing. I docked my 21ft Skiboat on their dock with no problems. It was pretty windy and there are no cleats so take plenty of fenders and some rope. You can tie off to a few places on the dock. It's only 4-5ft deep off the dock but you can anchor about 40 ft off the dock for bigger boats.

House is stocked with the important things like dishes and other essential items.

I would stay here again in a heart beat! Thank you for the great memory!

"
35,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jun 13, 2016",5/5,Best. Spot. Ever.,"Montina Beach is a must stay if you are ever in the Austin area and want to be close to the Lake. Beautiful property with direct access to the lake and a marina to rent a boat! My buddies and I had a blast over the weekend and we will definitely plan on coming back in the future. Everything in the house was immaculate and well stocked so we didn't have to worry about anything from towels, to pots and pans, and utensils. Phyllis is also super sweet and very accommodating. You can't go wrong!

"
36,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Oct 22, 2015",4/5,Love the house and the layout.,"We stayed at the house to attend my daughters wedding. Had a small group at the house for supper and thoroughly enjoyed the house, plenty of room to have a small get together. Would love to come back when we have time to enjoy the dock and the lake. The open layout and the grounds fit our needs perfectly.

"
37,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Sep 10, 2015",4/5,Great family vacation on the lake,"The property was a very nice direct short walk to the water. Beautiful bend in the lake and nice to have your own private boat dock with marinas 2 minute boat ride away. The house was well stocked with everything you need to cook/serve food. Very clean property and well manicured lawn. Loved staying here with my two toddlers and parents. Owners very responsive, helpful, kind.

"
38,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Aug 26, 2015",5/5,10 Star Property!,"What a great house and property! We had a great weekend at Montina Beach.

The house was fantastic; it had plenty of rooms, beds, and space for our group of 7. The kitchen, living room, and dining room all flowed well, and we had plenty of space to gather in any of the rooms; including the kitchen!! Very roomy. The kitchen was well-stocked with pots, pans, and anything you could possibly need.

The lake set up was fantastic. J.R. was kind enough to let us use his private/family dock. It had a great sound system, a fridge, and a nice outdoor kitchen setup (bar top/ outdoor table/ etc). It was also nice to have a place to get out of the sun and get some protection from the wind.

We could not have asked for a better weekend, and we cannot wait to go back.

Thanks J.R.!!

"
39,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Aug 14, 2015",5/5,Excellent,"House was very clean and comfortable on our stay. No complaints.

"
40,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Aug 7, 2015",5/5,Birthday party,"I don't know where to start. Mr. Lacey is the most gracious person I have ever met!! He responds to all emails and treats you like his own family. The property is the best on the lake, not to mention the cleanest and best stocked property I have ever rented. I brought charcoal for the grill, it was supplied. The kitchen has all the necessities, including coffee and trash bags, pots and pans. In a world of terrible customer service, this is paradise!! The dock and swimming area is as good as it gets!! Can't say enough, I will be a return customer.

"
41,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jul 7, 2015",2/5,Did not expect the birds or layout,"Overall we had a good family vacation at this property. The owners are kind people who are renting out the house behind theirs as a vacation property. The property was clean, spacious, and we had direct access to two boat docks and the lake.

But we also ran into two major issues. The first was that birds were nesting in the chimney and were very loud. This made it hard to relax in the main living area which is the best part of the house. We notified the owners and they indicated it would be addressed, but there was not followup. We didn't expect the birds to be removed because it would risk harming them, but given the cost we had higher expectations that problems like this would be addressed before our stay. (i.e. a repaired chimney cap or sharply discounted rate) If it were not for the bird problem we would have rated our stay better. The second issue had to do with the layout of the house. To access one of the bedrooms you either have to walk through the middle bedroom or walk outside and then through the front door. This wasn't as big of a problem as the birds but it is something that other renters should be made aware of if they happened to miss it during review of the property.

"
42,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"May 30, 2015",5/5,Amazing stay!,"Let me say first of all a huge Thank You to Mr. Lacey! We could not have asked for a more wonderful owner. He went above and beyond to make sure our stay was the best possible. I can't say anything bad about our stay. Even with the bad weather we had a fabulous stay! The house was perfect for our family and clean! Love the open floor plan which we enjoyed with our family so much! We enjoyed eating outside on the patio too ! Kitchen well equipped !! Can't wait to go back soon ! With the rain the lake level is coming up quite well too!! Thank you again Mr . Lacey for making this a great weekend for our family.

"
43,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Mar 17, 2014",1/5,Lake Travis property,"The pics online reveal for the most part all rooms but it doesn't reveal it needs renovation, updating and a new cleaning crew. We were disappointed that the bed coverings, pillows and mattresses were in poor and dirty condition. Some of the sheets on the beds looked as though they had not been washed from the previous guests. There were bugs and dead roaches in pantry. The utility/laundry room had a broken door and washer/dryer were filthy. Outdoor patio area was most disappointing, as it had not been cleaned for new guests. Patio table and furniture had dead bugs, cobwebs, dried bird droppings. We had to buy our own small BBQ pit to cook outdoors due to the 3 they had there were filthy with bird droppings and leftover mess from previous guest.

In the queen bed room with own bathroom, the tub did not drain well at all. The tub would fill up with dirty bath water before finishing our shower. The top bunk bed has poor springs and bottom cover to that bed was torn with hole that hangs down into bottom bed.

Overall the house has an old musty smell. We bought candles to help with odor.

We did take advantage of the volleyball court area outside and the fire pit. The water level is low in lake so you can't fish from docks on property. Not that you would want to, as one of the docks is in worse condition than the house.

Needless to say, we were very disappointed with our stay. Considering what we paid, the house and overall condition should have exceeded our expectations. Unless this property has a total makeover and remodel, we would not recommend this property.

"
44,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Sep 6, 2013",5/5,Labor Day Weekend - 2013,"A very good, well maintained, property. We really enjoyed our stay. There were only three minor issues.

1) The A/C vent grill in the master bath was missing.

2) The hot water was too hot, almost scalding, in the kitchen. The temp setting for the water heater was too high and should probably be lowered.

3) It was pitch black at night as there were no night lights at all, making a trip to the bathroom during the night an adventure.

The kids really enjoyed the bunk beds. The kitchen was well stocked with cooking utensils, pots, and pans. excellent flat screen TV, comfortable furniture, lots of seating for meals, a great patio table and chairs with an umbrella. It was great eating breakfast on the patio.

"
45,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Jul 24, 2013",5/5,Excellent choice for lake travis,"We had a large group and this house provided us with everything we needed to make our stay excellent. Clean, great location, and great view. Would definetly rent this house for our next visit to lake travis in the future.

"
46,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Oct 24, 2012",2/5,Nice place but needed a good cleaning,"We arrived at the house that sits on a beautiful property in the middle of the afternoon. Initially we thought the home was lovely, but as we looked closer, there were cob webs in the corners, bugs behind TV, froot loops and lifesavers stuck on the sofa and futon and the floors were filthy. We had to actaully throw our socks away after walking on them.

There was laundry in both the washer and dryer, which the owner did come over to tell us about. The master bedroom had a really bad odor. We opened 4 bars of soap and laid then around the room, which thankfully helped.

The other issue is that the pictures are kind of deceptive in the sense that it appears as though there are 2 queen bedrooms, but there is only a King/bath, (1) Queen w/bath and a bunk-bed room that has a bath through a closet. My error for not confirming.

Other than that, the house itself was very comfortable and the common area was a nice place to gather. I would advise the owner, who was very nice, to reevaluate their cleaning service (if they have one).

Its a shame because the house has an enormous amount of potential...

"
47,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Apr 2, 2012",5/5,Great location!!,"We had a wonderful time at this rental house! Great view, in a prime location. The water level was about 40 feet or so below normal so it was a little hike down to the water but the owner made up for that by graciously offering us use of his personal boat dock which was amazing. The house was very clean and living area was very open to kitchen/dining area! Great space! We loved this place!! The main patio off the back living room was comfortable and offered the view of Lake Travis! The owners were also very friendly and accommodating! Recommend highly. We will be back!

"
48,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Nov 21, 2011",5/5,Waterfront Vacation Home,"We stayed here for a weekend getaway with our friends and had a great time. The house easily slept the eight people that came on the trip. The house is very nice and taken care of well. It is out of town and in a quiet neighborhood but still close to Austin or Lakeway.We went to Carlos and Charlies Friday night cause is it so close to the house and we wanted to relax. Austin has an endless amount of activities to fill the day and night from sightseeing, outdoor activities, to wineries, and concerts. We would definitely recommend this house for anyone wanting a vacation or lake getaway.

"
49,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Sep 7, 2011",5/5,Great Lake House,"The house was great! It is actually a lot larger than what it looks like, on the pictures. I went with a group of girls for a girlfriend getaway, we all really enjoyed it. It is fully equipped with all necessary appliances, plus it had some extra perks such as complimentary shampoo and disposable utensils. Not to mention, the BBQ pits that they have in the back patio. The property is at a perfect location, it's only four minutes from the marina where you have access to rent a boat, which we did... We didn't have to drive far for dinner either, Carlos & Charlie's is also next to the marina.

The owners are also very pleasant and accommodating. I would definitely recommend this house to friends and family.

"
50,https://www.homeaway.com/vacation-rental/p186314vb#reviews,"Aug 8, 2011",5/5,Had a wonderful time!,"We just experienced a wonderful time at the beautiful Montina Beach house. The landscaping was explicit and the accomodations were exactly what we were hoping they would be. It is a lovely home with a very friendly floor plan - just perfect for family gatherings whether you are eating, watching movies or playing games. Lake Travis' water level was very low but there was still plenty of water for skiing and swimming. The owners were so gracious and accomodating to us. Thank you so much - we are hoping to come again next year.

"
